"Report Name: Custom API Report"
"Report Time: 10/18/2022,10/25/2022"
"Time Zone: (GMT-05:00) Eastern Time (US & Canada)"
"Last Completed Available Day: 10/25/2022 5:25:00 PM (GMT)"
"Last Completed Available Hour: 10/25/2022 5:25:00 PM (GMT)"
"Report Aggregation: Daily"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 320"

"AccountName","AccountId","AdGroupId","AdGroupName","AdDistribution","AveragePosition","Clicks","Conversions","TimePeriod","Impressions","Spend"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242721","fridgefilters.com","Search","0.00","2","0","2022-10-18","4","6.61"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242721","fridgefilters.com","Search","0.00","1","0","2022-10-19","2","0.69"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242721","fridgefilters.com","Search","0.00","2","1","2022-10-23","8","4.58"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242721","fridgefilters.com","Search","0.00","4","1","2022-10-24","5","8.33"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Search","0.00","0","0","2022-10-18","87","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Search","0.00","2","0","2022-10-19","49","3.41"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Search","0.00","0","0","2022-10-20","50","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Search","0.00","0","0","2022-10-21","34","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Search","0.00","0","0","2022-10-22","34","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Search","0.00","0","0","2022-10-23","33","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Search","0.00","1","0","2022-10-24","30","0.84"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Search","0.00","0","0","2022-10-25","8","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Audience","0.00","0","0","2022-10-18","4","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Audience","0.00","0","0","2022-10-19","11","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Audience","0.00","0","0","2022-10-20","11","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Audience","0.00","0","0","2022-10-21","18","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Audience","0.00","0","0","2022-10-22","37","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Audience","0.00","1","0","2022-10-23","38","0.05"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Audience","0.00","2","0","2022-10-24","17","0.09"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242722","fridgefilters","Audience","0.00","0","0","2022-10-25","6","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Search","0.00","10","0","2022-10-18","412","10.03"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Search","0.00","17","0","2022-10-19","337","15.59"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Search","0.00","12","0","2022-10-20","324","10.49"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Search","0.00","6","0","2022-10-21","205","6.27"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Search","0.00","6","0","2022-10-22","188","7.51"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Search","0.00","7","0","2022-10-23","214","6.42"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Search","0.00","9","1","2022-10-24","215","11.40"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Search","0.00","3","0","2022-10-25","66","1.86"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Audience","0.00","0","0","2022-10-18","13","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Audience","0.00","0","0","2022-10-19","29","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Audience","0.00","0","0","2022-10-20","13","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Audience","0.00","0","0","2022-10-21","19","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Audience","0.00","0","0","2022-10-22","34","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Audience","0.00","1","0","2022-10-23","28","0.01"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Audience","0.00","0","0","2022-10-24","17","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","1644242729","fridge-filter","Audience","0.00","0","0","2022-10-25","15","0.00"
"EF/JD/AH - CWD - FridgeFilters","18271","2388764662","Fridge Filters","Search","0.00","1","0","2022-10-18","50","3.85"
"EF/JD/AH - CWD - FridgeFilters","18271","2388764662","Fridge Filters","Search","0.00","4","0","2022-10-19","38","8.33"
"EF/JD/AH - CWD - FridgeFilters","18271","2388764662","Fridge Filters","Search","0.00","4","0","2022-10-20","61","7.64"
"EF/JD/AH - CWD - FridgeFilters","18271","2388764662","Fridge Filters","Search","0.00","4","0","2022-10-21","31","10.63"
"EF/JD/AH - CWD - FridgeFilters","18271","2388764662","Fridge Filters","Search","0.00","2","0","2022-10-22","27","3.86"
"EF/JD/AH - CWD - FridgeFilters","18271","2388764662","Fridge Filters","Search","0.00","5","0","2022-10-23","25","13.46"
